Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic,Companies
261,Wildcard Matching,44,Hard,31.4,23.0,B,String/DP/Greedy/Recursion,Google;Meta
262,Find All Anagrams in a String,438,Medium,53.3,22.9,B,Hash Table/String/Sliding Window,Amazon;Google
263,Rearrange Array Elements by Sign,2149,Medium,84.5,22.9,B,Array/Two Pointers/Simulation,Amazon;Google
264,Min Cost Climbing Stairs,746,Easy,68.0,22.8,B,Array/DP,Amazon;Google
265,Palindromic Substrings,647,Medium,72.6,22.8,B,Two Pointers/String/DP,Google;Meta
266,Russian Doll Envelopes,354,Hard,37.7,22.6,B,Array/Binary Search/Dynamic Programming/Sorting,Google;Uber
267,Sort Characters By Frequency,451,Medium,75.1,22.3,B,Hash Table/String/Sorting/Heap,Amazon;Google
268,Longest Common Subsequence,1143,Medium,58.9,22.2,B,String/DP,Amazon;Google
269,Kth Largest Element in a Stream,703,Easy,60.7,22.0,B,Tree/Design/BST/Heap,Amazon;Google
270,Maximum Swap,670,Medium,51.9,22.0,B,Math/Greedy,Google;Meta
271,Longest Increasing Path in a Matrix,329,Hard,56.3,21.9,B,Array/Dynamic Programming/DFS/Memoization,Google;Uber
272,Maximum Profit in Job Scheduling,1235,Hard,54.6,21.9,B,Array/Binary Search/DP/Sorting,Amazon;Uber
273,Shortest Palindrome,214,Hard,41.9,21.9,B,String/Rolling Hash/String Matching,Google;Uber
274,First Unique Number,1429,Medium,57.7,21.7,B,Hash Table/Design/Queue,Uber
275,Buildings With an Ocean View,1762,Medium,80.9,21.6,B,Array/Stack/Monotonic Stack,Meta
276,Find All Possible Recipes from Given Supplies,2115,Medium,56.8,21.5,B,Array/Hash Table/String/Graph/Topological Sort,Google;Uber
277,Number of Matching Subsequences,792,Medium,50.6,21.4,B,Array/Hash Table/String/Sorting,Google;Uber
278,Add Digits,258,Easy,68.6,21.3,B,Math/Simulation/Number Theory,Google;Uber
279,Binary Tree Inorder Traversal,94,Easy,79.7,21.3,B,Stack/Tree/DFS,Google;Meta
280,Closest Binary Search Tree Value,270,Easy,49.3,20.8,B,Tree/BST/DFS/Binary Search,Meta;Uber
281,Maximum Width of Binary Tree,662,Medium,45.3,20.6,B,Tree/DFS/BFS,Amazon;Uber
282,Non-overlapping Intervals,435,Medium,56.7,20.6,B,Array/DP/Greedy/Sorting,Amazon;Google
283,The Skyline Problem,218,Hard,45.0,20.6,B,Array/Divide and Conquer/Binary Indexed Tree/Segment Tree,Google;Uber
284,Maximum Points You Can Obtain from Cards,1423,Medium,57.3,20.4,B,Array/Sliding Window/Prefix Sum,Google;Uber
285,Detonate the Maximum Bombs,2101,Medium,49.9,20.3,B,Array/Math/DFS/BFS/Graph/Geometry,Google;Uber
286,Minimum Cost to Make at Least One Valid Path in a Grid,1368,Hard,70.9,20.3,B,Array/BFS/Graph/0-1 BFS,Google;Uber
287,Reconstruct Itinerary,332,Hard,44.3,20.3,B,Array/String/DFS/Graph/Eulerian Path,Google;Uber
288,Valid Number,65,Hard,22.6,20.3,B,String,Meta
289,Interval List Intersections,986,Medium,72.9,20.1,B,Array/Two Pointers,Meta;Uber
290,Dot Product of Two Sparse Vectors,1570,Medium,89.9,20.1,B,Array/Hash Table/Two Pointers,Meta
291,Range Sum of BST,938,Easy,87.6,20.1,B,Tree/BST/DFS,Meta
292,Maximum Average Subarray I,643,Easy,47.1,19.9,B,Array/Sliding Window,Google;Uber
293,Combination Sum II,40,Medium,59.0,19.8,B,Array/Backtracking,Google;Meta
294,Subarray Sums Divisible by K,974,Medium,56.1,19.5,B,Array/Hash Table/Prefix Sum,Google;Uber
295,Car Pooling,1094,Medium,56.2,19.0,B,Array/Prefix Sum/Heap,Meta;Uber
296,Strobogrammatic Number,246,Easy,47.5,19.0,B,Hash Table/Two Pointers/String,Meta;Uber
297,Unique Paths II,63,Medium,44.2,19.0,B,Array/DP/Matrix,Google;Meta
298,Maximum Width Ramp,962,Medium,55.8,18.9,B,Array/Two Pointers/Stack/Monotonic Stack,Google;Uber
299,Largest Divisible Subset,368,Medium,49.4,18.8,B,Array/Math/Dynamic Programming/Sorting,Google;Uber
300,24 Game,679,Hard,59.3,18.7,B,Array/Math/Backtracking,Google;Uber
301,Ransom Note,383,Easy,65.7,18.6,B,Hash Table/String/Counting,Google;Uber
302,Range Sum Query - Immutable,303,Easy,71.4,18.5,B,Array/Design/Prefix Sum,Google;Meta
303,01 Matrix,542,Medium,53.4,18.3,B,Array/Dynamic Programming/BFS/Matrix,Google;Uber
304,Shortest Path in a Grid with Obstacles Elimination,1293,Hard,46.1,18.2,B,Array/BFS/Matrix,Google;Uber
305,All O`one Data Structure,432,Hard,44.3,18.0,B,Hash Table/Linked List/Design,Uber
306,Block Placement Queries,3161,Hard,41.5,18.0,B,Array/Binary Search/Binary Indexed Tree/Segment Tree,Uber
307,Cherry Pickup,741,Hard,39.8,18.0,B,Array/Dynamic Programming/Matrix,Uber
308,Count Subarrays With Fixed Bounds,2444,Hard,69.2,18.0,B,Array/Queue/Sliding Window,Uber
309,Design In-Memory File System,588,Hard,48.3,18.0,B,Trie/Design/Hash Table,Uber
310,Divide Nodes Into the Maximum Number of Groups,2493,Hard,66.9,18.0,B,DFS/BFS/Union-Find/Graph,Uber
311,Escape the Spreading Fire,2258,Hard,38.5,18.0,B,Array/Binary Search/BFS/Matrix,Uber
312,Find Minimum Time to Reach Last Room I,3341,Medium,55.4,18.0,B,Array/Graph/Heap/Shortest Path,Uber
313,Leftmost Column with at Least a One,1428,Medium,55.3,18.0,B,Binary Search/Matrix/Interactive,Uber
314,Minimum Edge Reversals So Every Node Is Reachable,2858,Hard,59.9,18.0,B,Dynamic Programming/DFS/BFS/Graph,Uber
315,Minimum Number of Operations to Make Array Continuous,2009,Hard,51.8,18.0,B,Array/Hash Table/Binary Search/Sliding Window,Uber
316,Minimum Operations to Write the Letter Y on a Grid,3071,Medium,64.6,18.0,B,Array/Hash Table/Matrix,Uber
317,Rotating the Box,1861,Medium,82.5,18.0,B,Array/Two Pointers/Matrix,Uber
318,Shortest Bridge,934,Medium,59.6,18.0,B,Array/DFS/BFS/Matrix,Uber
319,Shuffle an Array,384,Medium,59.8,18.0,B,Array/Math/Design/Randomized,Uber
320,Split Message Based on Limit,2468,Hard,42.2,18.0,B,String/Enumeration,Uber
321,The Maze,490,Medium,60.5,18.0,B,BFS/DFS/Matrix,Uber
322,Best Time to Buy and Sell Stock III,123,Hard,53.2,17.9,B,Array/DP,Google;Meta
323,House Robber II,213,Medium,44.6,17.9,B,Array/Dynamic Programming,Google;Uber
324,H-Index,274,Medium,41.2,17.5,B,Array/Sorting/Counting Sort,Google;Uber
325,Find Eventual Safe States,802,Medium,70.3,17.2,B,DFS/BFS/Graph/Topological Sort,Google;Uber
326,Find the Safest Path in a Grid,2812,Medium,48.6,17.0,B,Array/Binary Search/BFS/Union-Find,Google;Uber
327,Identify the Largest Outlier in an Array,3371,Medium,36.2,17.0,B,Array/Hash Table/Counting,Amazon
328,Continuous Subarrays,2762,Medium,57.9,16.8,B,Array/Queue/Sliding Window/Ordered Set,Google;Uber
329,Max Area of Island,695,Medium,73.8,16.8,B,Array/DFS/BFS/Union-Find/Matrix,Google;Uber
330,Sum of Distances in Tree,834,Hard,65.5,16.7,B,Dynamic Programming/Tree/DFS,Google;Uber
331,Minimum Number of Increments on Subarrays to Form a Target Array,1526,Hard,78.1,16.7,B,Array/Stack/Greedy/Monotonic Stack/DP,Google
332,Predict the Winner,486,Medium,56.1,16.3,B,Array/Math/Dynamic Programming/Game Theory,Google;Uber
333,Repeated String Match,686,Medium,38.4,16.3,B,String/String Matching,Google;Uber
334,Combinations,77,Medium,74.2,16.2,B,Backtracking,Google;Meta
335,Missing Ranges,163,Easy,35.5,16.2,B,Array,Meta
336,Maximum Number of Events That Can Be Attended,1353,Medium,38.9,16.1,B,Array/Greedy/Sorting/Heap,Google;Uber
337,Convert Sorted Array to Binary Search Tree,108,Easy,75.2,15.9,B,Array/Divide&Conquer/Tree/BST,Google;Meta
338,Design a Text Editor,2296,Hard,50.1,15.9,B,Linked List/String/Stack/Design,Google;Uber
339,Valid Parenthesis String,678,Medium,39.8,15.9,B,String/Dynamic Programming/Stack/Greedy,Google;Uber
340,Viewers Turned Streamers,2995,Hard,42.7,15.9,B,Database,Google
341,Logger Rate Limiter,359,Easy,76.8,15.7,B,Hash Table/Design,Google
342,Concatenated Words,472,Hard,49.7,15.5,B,Array/String/DP/DFS/Trie,Amazon
343,Number of Visible People in a Queue,1944,Hard,72.4,15.2,B,Array/Stack/Monotonic Stack,Google
344,Power of Two,231,Easy,49.9,15.2,B,Math/Bit Manipulation/Recursion,Google
345,Substring with Concatenation of All Words,30,Hard,34.0,14.8,B,Hash Table/String/Sliding Window,Google;Meta
346,Add Edges to Make Degrees of All Nodes Even,2508,Hard,36.5,14.4,B,Hash Table/Graph,Uber
347,Array With Elements Not Equal to Average of Neighbors,1968,Medium,50.8,14.4,B,Array/Greedy/Sorting,Uber
348,Best Time to Buy and Sell Stock using Strategy,3652,Medium,59.7,14.4,B,Array/Sliding Window/Prefix Sum,Uber
349,Boundary of Binary Tree,545,Medium,48.1,14.4,B,Tree/DFS,Uber
350,Calculate Digit Sum of a String,2243,Easy,67.9,14.4,B,String/Simulation,Uber
351,Check If String Is a Prefix of Array,1961,Easy,52.9,14.4,B,Array/Two Pointers/String,Uber
352,Check for Contradictions in Equations,2307,Hard,44.0,14.4,B,Graph/Union-Find/DFS,Uber
353,Check if a String Is an Acronym of Words,2828,Easy,83.1,14.4,B,Array/String,Uber
354,Construct K Palindrome Strings,1400,Medium,68.5,14.4,B,Hash Table/String/Greedy/Counting,Uber
355,Count Paths That Can Form a Palindrome in a Tree,2791,Hard,52.6,14.4,B,Dynamic Programming/Bit Manipulation/Tree/DFS,Uber
356,Course Schedule IV,1462,Medium,60.0,14.4,B,DFS/BFS/Graph/Topological Sort,Uber
357,Create Binary Tree From Descriptions,2196,Medium,83.9,14.4,B,Array/Hash Table/Tree,Uber
358,Dungeon Game,174,Hard,41.6,14.4,B,Array/Dynamic Programming/Matrix,Uber
359,Employee Importance,690,Medium,69.6,14.4,B,Array/Hash Table/Tree/DFS/BFS,Uber
360,Encode and Decode TinyURL,535,Medium,86.7,14.4,B,Hash Table/String/Design,Uber
361,Excel Sheet Column Number,171,Easy,68.0,14.4,B,Math/String,Uber
362,Factor Combinations,254,Medium,50.6,14.4,B,Backtracking,Uber
363,Falling Squares,699,Hard,48.0,14.4,B,Array/Segment Tree/Ordered Set,Uber
364,Fibonacci Number,509,Easy,73.9,14.4,B,Math/DP/Recursion/Memoization,Amazon
365,Final Prices With a Special Discount in a Shop,1475,Easy,84.2,14.4,B,Array/Stack/Monotonic Stack,Uber
366,Find Minimum Time to Reach Last Room II,3342,Medium,67.6,14.4,B,Array/Graph/Heap/Shortest Path,Uber
367,Find Pattern in Infinite Stream I,3023,Medium,57.4,14.4,B,Sliding Window/String Matching,Uber
368,Find Pattern in Infinite Stream II,3037,Hard,67.7,14.4,B,Sliding Window/String Matching,Uber
369,Find the City With the Smallest Number of Neighbors at a Threshold Distance,1334,Medium,73.2,14.4,B,Dynamic Programming/Graph/Shortest Path,Uber
370,Find the Distance Value Between Two Arrays,1385,Easy,72.0,14.4,B,Array/Two Pointers/Binary Search/Sorting,Uber
371,Find the Number of Ways to Place People II,3027,Hard,64.4,14.4,B,Array/Math/Geometry/Sorting,Uber
372,Fixed Point,1064,Easy,64.3,14.4,B,Array/Binary Search,Uber
373,Hopper Company Queries I,1635,Hard,48.0,14.4,B,Database,Uber
374,Hopper Company Queries II,1645,Hard,39.9,14.4,B,Database,Uber
375,Hopper Company Queries III,1651,Hard,65.3,14.4,B,Database,Uber
376,Intersection of Multiple Arrays,2248,Easy,68.8,14.4,B,Array/Hash Table/Sorting,Uber
377,K Divisible Elements Subarrays,2261,Medium,55.1,14.4,B,Array/Hash Table/Trie,Uber
378,Longest Palindromic Subsequence,516,Medium,65.6,14.4,B,String/Dynamic Programming,Uber
379,Match Alphanumerical Pattern in Matrix I,3078,Medium,65.3,14.4,B,Array/Hash Table/Matrix,Uber
380,Maximize Amount After Two Days of Conversions,3387,Medium,61.7,14.4,B,Array/String/DFS/BFS/Graph,Uber
381,Maximize Win From Two Segments,2555,Medium,37.9,14.4,B,Array/Binary Search/Sliding Window,Uber
382,Maximum Coin Collection ,3466,Medium,52.9,14.4,B,Array/Dynamic Programming,Uber
383,Maximum Increasing Triplet Value,3073,Medium,36.0,14.4,B,Array/Ordered Set,Uber
384,Maximum Number of Eaten Apples,1705,Medium,43.6,14.4,B,Array/Greedy/Heap,Uber
385,Maximum Subarray Min-Product,1856,Medium,40.5,14.4,B,Array/Stack/Monotonic Stack/Prefix Sum,Uber
386,Maximum XOR for Each Query,1829,Medium,84.7,14.4,B,Array/Bit Manipulation/Prefix Sum,Uber
387,Minimum Absolute Sum Difference,1818,Medium,32.6,14.4,B,Array/Binary Search/Sorting,Uber
388,Minimum Operations to Make Binary Array Elements Equal to One I,3191,Medium,80.4,14.4,B,Array/Bit Manipulation/Queue/Sliding Window,Uber
389,Minimum Operations to Make Binary Array Elements Equal to One II,3192,Medium,65.3,14.4,B,Array/Dynamic Programming/Greedy,Uber
390,Minimum Score Triangulation of Polygon,1039,Medium,67.5,14.4,B,Array/Dynamic Programming,Uber
391,Minimum Sum of Squared Difference,2333,Medium,26.9,14.4,B,Array/Binary Search/Greedy/Heap,Uber
392,Minimum Time to Complete Trips,2187,Medium,39.8,14.4,B,Array/Binary Search,Uber
393,Nearest Exit from Entrance in Maze,1926,Medium,48.7,14.4,B,Array/BFS/Matrix,Uber
394,Number Of Ways To Reconstruct A Tree,1719,Hard,46.1,14.4,B,Array/Hash Table/Tree/Graph,Uber
395,Number of Black Blocks,2768,Medium,42.0,14.4,B,Array/Hash Table/Enumeration,Uber
396,Number of Nodes in the Sub-Tree With the Same Label,1519,Medium,55.5,14.4,B,Hash Table/Tree/DFS/BFS,Uber
397,Number of People That Can Be Seen in a Grid,2282,Medium,47.4,14.4,B,Array/Stack/Matrix/Monotonic Stack,Uber
398,Number of Strings That Appear as Substrings in Word,1967,Easy,86.1,14.4,B,Array/String,Uber
399,Number of Ways to Reach Destination in the Grid,2912,Hard,57.7,14.4,B,Dynamic Programming/Matrix,Uber
400,One Edit Distance,161,Medium,34.6,14.4,B,Two Pointers/String,Uber
401,Optimal Account Balancing,465,Hard,50.5,14.4,B,Backtracking/Bit Manipulation,Uber
402,Palindrome Permutation,266,Easy,68.7,14.4,B,Hash Table/String,Uber
403,Parallel Courses,1136,Medium,62.3,14.4,B,Graph/Topological Sort,Uber
404,Plates Between Candles,2055,Medium,47.3,14.4,B,Array/String/Prefix Sum/Binary Search,Amazon
405,Points That Intersect With Cars,2848,Easy,73.5,14.4,B,Array/Hash Table/Prefix Sum,Uber
406,Random Pick with Blacklist,710,Hard,35.1,14.4,B,Array/Hash Table/Math/Binary Search,Uber
407,Remove Max Number of Edges to Keep Graph Fully Traversable,1579,Hard,70.2,14.4,B,Union-Find/Graph,Uber
408,Remove Zero Sum Consecutive Nodes from Linked List,1171,Medium,53.2,14.4,B,Hash Table/Linked List,Uber
409,Replace Words,648,Medium,68.8,14.4,B,Array/Hash Table/String/Trie,Uber
410,Reverse Words in a String II,186,Medium,56.7,14.4,B,Two Pointers/String,Uber
411,The Maze II,505,Medium,55.1,14.4,B,Graph/BFS/Heap/Shortest Path,Uber
412,Trips and Users,262,Hard,38.6,14.4,C,Database,Uber
413,Walls and Gates,286,Medium,64.1,14.4,C,BFS/Matrix,Uber
414,Word Pattern,290,Easy,44.3,14.4,C,Hash Table/String,Uber
415,Word Pattern II,291,Medium,48.9,14.4,C,Hash Table/String/Backtracking,Uber
416,Combine Two Tables,175,Easy,79.2,14.1,C,Database,Amazon
417,Flatten Binary Tree to Linked List,114,Medium,70.2,14.0,C,Linked List/Stack/Tree/DFS,Google;Meta
418,Search Suggestions System,1268,Medium,65.1,13.9,C,Array/String/Trie/Sorting,Amazon
419,Make Array Zero by Subtracting Equal Amounts,2357,Easy,73.7,13.7,C,Array/Hash Table/Greedy/Sorting,Amazon
420,Continuous Subarray Sum,523,Medium,31.2,13.6,C,Array/Hash Table/Prefix Sum,Meta
421,Convert Binary Search Tree to Sorted Doubly Linked List,426,Medium,65.6,13.6,C,Linked List/Stack/Tree/BST/DFS,Meta
422,Find All Numbers Disappeared in an Array,448,Easy,63.8,13.6,C,Array/Hash Table,Google
423,Insert into a Sorted Circular Linked List,708,Medium,38.5,13.6,C,Linked List,Meta
424,Remove Invalid Parentheses,301,Hard,49.8,13.6,C,String/Backtracking/BFS,Meta
425,Second Highest Salary,176,Medium,46.4,13.6,C,Database,Amazon
426,Fizz Buzz,412,Easy,75.3,13.4,C,Math/String/Simulation,Amazon
427,Guess the Word,843,Hard,36.9,13.4,C,Array/Math/Interactive/Game Theory,Google
428,Separate Squares I,3453,Medium,58.0,13.3,C,Array/Math/Binary Search/Geometry,Google
429,Article Views I,1148,Easy,76.7,13.2,C,Database,Amazon
430,The kth Factor of n,1492,Medium,70.2,13.2,C,Math,Amazon
431,Employees Earning More Than Their Managers,181,Easy,72.9,13.1,C,Database,Amazon
432,Minimum Health to Beat Game,2214,Medium,58.8,13.1,C,Array/Greedy,Amazon
433,Reverse Vowels of a String,345,Easy,60.7,13.1,C,Two Pointers/String,Google
434,Sort an Array,912,Medium,55.9,13.1,C,Array/Divide&Conquer/Sorting/Heap/Merge Sort/Counting Sort/Radix Sort,Google
435,Minimum Area Rectangle,939,Medium,55.3,13.0,C,Array/Hash Table/Math/Geometry/Sorting,Google
436,Partition Labels,763,Medium,81.8,12.7,C,Hash Table/Two Pointers/String/Greedy,Amazon
437,Range Module,715,Hard,44.7,12.5,C,Design/Segment Tree/Ordered Set,Google
438,Power of Three,326,Easy,50.7,12.4,C,Math/Recursion,Google
439,Finding MK Average,1825,Hard,38.7,12.3,C,Hash Table/Design/Ordered Set,Google
440,Move Pieces to Obtain a String,2337,Medium,56.7,12.3,C,Two Pointers/String,Google
441,Boats to Save People,881,Medium,61.4,12.2,C,Array/Two Pointers/Greedy/Sorting,Amazon
442,Find the Difference,389,Easy,60.1,12.1,C,Hash Table/String/Bit Manipulation/Sorting,Google
443,Greatest Common Divisor of Strings,1071,Easy,53.4,12.1,C,Math/String,Google
444,Critical Connections in a Network,1192,Hard,59.3,12.0,C,Graph/DFS/Biconnected Component,Amazon
445,Delete Nodes And Return Forest,1110,Medium,72.5,11.9,C,Tree/DFS/Hash Table,Google
446,Cutting Ribbons,1891,Medium,53.0,11.8,C,Array/Binary Search,Meta
447,Kth Smallest Element in a Sorted Matrix,378,Medium,64.4,11.8,C,Array/Binary Search/Matrix/Heap,Meta
448,Managers with at Least 5 Direct Reports,570,Medium,48.9,11.8,C,Database,Meta
449,Product of Two Run-Length Encoded Arrays,1868,Medium,59.6,11.8,C,Array/Two Pointers,Meta
450,Swap Adjacent in LR String,777,Medium,37.9,11.8,C,Two Pointers/String,Google
451,Valid Palindrome III,1216,Hard,49.1,11.8,C,String/DP,Meta
452,Zero Array Transformation III,3362,Medium,54.9,11.8,C,Array/Greedy/Sorting/Heap,Meta
453,First Bad Version,278,Easy,46.9,11.5,C,Binary Search/Interactive,Google
454,Perfect Squares,279,Medium,56.3,11.5,C,Math/DP/BFS,Google
455,Summary Ranges,228,Easy,53.9,11.3,C,Array,Google
456,Single Number II,137,Medium,66.7,11.2,C,Array/Bit Manipulation,Google
457,Implement Stack using Queues,225,Easy,69.4,11.1,C,Stack/Design/Queue,Google
458,Can Place Flowers,605,Easy,29.1,11.0,C,Array/Greedy,Google
459,Coin Change II,518,Medium,60.4,11.0,C,Array/DP,Google
460,Count Square Submatrices with All Ones,1277,Medium,80.7,10.9,C,Array/DP/Matrix,Google
461,Minimum Area Rectangle II,963,Medium,55.9,10.9,C,Array/Math/Geometry,Google
462,Sum of Two Integers,371,Medium,55.1,10.9,C,Math/Bit Manipulation,Google
463,Brightest Position on Street,2021,Medium,60.7,10.8,C,Array/Sweep Line/Prefix Sum,Uber
464,Candy Crush,723,Medium,77.6,10.8,C,Array/Two Pointers/Matrix/Simulation,Uber
465,Collect Coins in a Tree,2603,Hard,40.4,10.8,C,Array/Tree/Graph/Topological Sort,Uber
466,Count Nice Pairs in an Array,1814,Medium,48.4,10.8,C,Array/Hash Table/Math,Uber
467,Count the Number of Good Subarrays,2537,Medium,65.7,10.8,C,Array/Hash Table/Sliding Window,Uber
468,Design Browser History,1472,Medium,78.4,10.8,C,Array/Linked List/Stack/Design,Uber
469,Design File System,1166,Medium,65.2,10.8,C,Hash Table/String/Trie/Design,Uber
470,Design Memory Allocator,2502,Medium,50.3,10.8,C,Array/Hash Table/Design/Simulation,Uber
471,Exam Room,855,Medium,43.6,10.8,C,Design/Heap/Ordered Set,Uber
472,Find the Length of the Longest Common Prefix,3043,Medium,62.3,10.8,C,Array/Hash Table/String/Trie,Uber
473,Is Graph Bipartite?,785,Medium,59.5,10.8,C,DFS/BFS/Union-Find/Graph,Uber
474,Length of Longest Subarray With at Most K Frequency,2958,Medium,56.7,10.8,C,Array/Hash Table/Sliding Window,Uber
475,Longest Path With Different Adjacent Characters,2246,Hard,54.0,10.8,C,Array/String/Tree/DFS/Graph,Uber
476,Maximum Earnings From Taxi,2008,Medium,46.6,10.8,C,Array/Hash Table/Binary Search/Dynamic Programming,Uber
477,Min Cost to Connect All Points,1584,Medium,71.2,10.8,C,Array/Union-Find/Graph/MST,Uber
478,Minimum Absolute Difference Between Elements With Constraint,2817,Medium,37.8,10.8,C,Array/Binary Search/Ordered Set,Uber
479,Minimum Cost For Tickets,983,Medium,67.4,10.8,C,Array/Dynamic Programming,Uber
480,Minimum Operations to Reduce an Integer to 0,2571,Medium,62.8,10.8,C,Dynamic Programming/Greedy/Bit Manipulation,Uber
481,Most Profitable Path in a Tree,2467,Medium,67.3,10.8,C,Array/Tree/DFS/Graph,Uber
482,Number of Adjacent Elements With the Same Color,2672,Medium,59.9,10.8,C,Array,Uber
483,Number of Flowers in Full Bloom,2251,Hard,58.0,10.8,C,Array/Hash Table/Binary Search/Prefix Sum,Uber
484,Patching Array,330,Hard,54.4,10.8,C,Array/Greedy,Uber
485,Replace Non-Coprime Numbers in Array,2197,Hard,57.6,10.8,C,Array/Math/Stack/Number Theory,Uber
486,Rotated Digits,788,Medium,64.0,10.8,C,Math/Dynamic Programming,Uber
487,Sliding Puzzle,773,Hard,74.5,10.8,C,Array/Dynamic Programming/Backtracking/BFS,Uber
488,Smallest String With Swaps,1202,Medium,60.8,10.8,C,Array/Hash Table/String/Union-Find,Uber
489,Time Needed to Buy Tickets,2073,Easy,72.8,10.8,C,Array/Queue/Simulation,Uber
490,Verifying an Alien Dictionary,953,Easy,56.0,10.8,C,Array/Hash Table/String,Uber
491,Water and Jug Problem,365,Medium,45.8,10.8,C,Math/DFS/BFS,Uber
492,Find All Duplicates in an Array,442,Medium,76.8,10.7,C,Array/Hash Table,Google
493,Odd Even Jump,975,Hard,41.1,10.7,C,Array/DP/Stack/Monotonic Stack/Ordered Set,Google
494,Path With Minimum Effort,1631,Medium,62.8,10.7,C,Array/Binary Search/DFS/BFS/Union Find/Heap/Matrix,Google
495,Permutation Sequence,60,Hard,52.2,10.7,C,Math/Backtracking,Google
496,Race Car,818,Hard,44.6,10.7,C,DP/BFS,Google
497,Binary Subarrays With Sum,930,Medium,68.3,10.6,C,Array/Hash Table/Sliding Window/Prefix Sum,Google
498,Assign Cookies,455,Easy,54.7,10.4,C,Greedy/Array/Two Pointers/Sorting,Google
499,Implement Queue using Stacks,232,Easy,69.4,10.4,C,Stack/Design/Queue,Google
500,Network Delay Time,743,Medium,59.8,10.4,C,Graph/DFS/BFS/Heap/Shortest Path,Google
501,Redundant Connection,684,Medium,67.3,10.4,C,DFS/BFS/Union Find/Graph,Google
502,Delete Node in a Linked List,237,Medium,83.6,10.3,C,Linked List,Google
503,Find And Replace in String,833,Medium,50.9,10.3,C,Array/String/Sorting,Google
504,Minimum Number of Operations to Move All Balls to Each Box,1769,Medium,90.1,10.3,C,Array/String/Prefix Sum,Google
505,Minimum Time to Finish the Race,2188,Hard,43.3,10.3,C,Array/DP,Google
506,Repeated Substring Pattern,459,Easy,47.9,10.3,C,String/String Matching,Google
507,Design Tic-Tac-Toe,348,Medium,58.7,10.2,C,Array/Hash Table/Design/Matrix,Meta
508,Shortest Distance from All Buildings,317,Hard,44.9,10.2,C,Array/BFS/Matrix,Meta
509,Domino and Tromino Tiling,790,Medium,51.4,10.1,C,DP,Google
510,Snapshot Array,1146,Medium,36.7,10.1,C,Array/Hash Table/Binary Search/Design,Google
511,Triangle,120,Medium,59.9,10.1,C,Array/DP,Google
512,Backspace String Compare,844,Easy,49.8,10.0,C,Two Pointers/String/Stack,Google
513,Best Time to Buy and Sell Stock with Cooldown,309,Medium,61.7,10.0,C,Array/DP,Google
514,Combination Sum IV,377,Medium,55.0,10.0,C,Array/DP,Google
515,Detect Squares,2013,Medium,52.3,10.0,C,Array/Hash Table/Design/Counting,Google
516,Minimum Depth of Binary Tree,111,Easy,52.4,10.0,C,Tree/DFS/BFS,Meta
517,Remove Duplicate Letters,316,Medium,52.8,10.0,C,String/Stack/Greedy/Monotonic Stack,Google
518,Set Mismatch,645,Easy,44.2,10.0,C,Array/Hash Table/Bit Manipulation/Sorting,Google
519,Single-Threaded CPU,1834,Medium,47.4,10.0,C,Array/Sorting/Heap,Google
520,Car Fleet,853,Medium,54.8,9.8,C,Array/Stack/Sorting/Monotonic Stack,Google
521,Count Days Without Meetings,3169,Medium,48.1,9.8,C,Array/Sorting,Google
522,Count of Smaller Numbers After Self,315,Hard,43.3,9.8,C,Array/Binary Search/Divide&Conquer/Merge Sort/BIT,Google
523,Nth Digit,400,Medium,37.3,9.8,C,Math/Binary Search,Google
524,Number of Closed Islands,1254,Medium,67.0,9.8,C,Array/DFS/BFS/Union Find/Matrix,Google
525,Binary Tree Paths,257,Easy,68.2,9.6,C,Tree/DFS/String/Backtracking,Google
526,Find Pivot Index,724,Easy,62.1,9.6,C,Array/Prefix Sum,Google
527,Fraction to Recurring Decimal,166,Medium,30.6,9.6,C,Hash Table/Math/String,Google
528,Height of Binary Tree After Subtree Removal Queries,2458,Hard,54.9,9.6,C,Array/Tree/DFS/BFS,Google
529,Linked List Random Node,382,Medium,64.7,9.6,C,Linked List/Math/Reservoir Sampling/Randomized,Google
530,Maximum XOR of Two Numbers in an Array,421,Medium,53.4,9.6,C,Array/Hash Table/Bit Manipulation/Trie,Google
531,Sequence Reconstruction,444,Medium,30.5,9.6,C,Graph/Topological Sort,Google
532,Shortest Unsorted Continuous Subarray,581,Medium,38.0,9.6,C,Array/Two Pointers/Stack/Greedy/Sorting/Monotonic Stack,Google
533,Android Unlock Patterns,351,Medium,53.7,9.4,C,DP/Backtracking/Bit Manipulation,Google
534,Champagne Tower,799,Medium,64.1,9.4,C,DP,Google
535,Design a Stack With Increment Operation,1381,Medium,79.9,9.4,C,Array/Stack/Design,Google
536,Encode and Decode Strings,271,Medium,51.2,9.4,C,Array/String/Design,Google
537,Partition List,86,Medium,60.6,9.4,C,Linked List/Two Pointers,Google
538,Remove Linked List Elements,203,Easy,53.9,9.4,C,Linked List/Recursion,Google
539,Unique Length-3 Palindromic Subsequences,1930,Medium,73.8,9.4,C,Hash Table/String/Bit Manipulation/Prefix Sum,Google
540,Excel Sheet Column Title,168,Easy,45.8,9.2,C,Math/String,Google
541,Find Duplicate Subtrees,652,Medium,60.6,9.2,C,Tree/DFS/Hash Table,Google
542,Goat Latin,824,Easy,69.9,9.2,C,String,Meta
