Topic,Problem,Rating,Difficulty Band,Tags,Link,Companies (pattern-relevant)
Math,Odd Selection,1200,Medium (1200-1500),"brute force, implementation, math",https://codeforces.com/problemset/problem/1363/A,"Google, Amazon, Meta, Microsoft"
Math,Plus Minus Permutation,1200,Medium (1200-1500),math,https://codeforces.com/problemset/problem/1872/D,"Google, Uber, Apple"
Math,Same Parity Summands,1200,Medium (1200-1500),"constructive algorithms, math",https://codeforces.com/problemset/problem/1352/B,"Google, Uber, Apple"
Number Theory,Fortune Telling,1200,Medium (1200-1500),"implementation, number theory",https://codeforces.com/problemset/problem/59/B,"Google, Amazon, Meta, Microsoft"
Number Theory,Rectangular Game,1200,Medium (1200-1500),number theory,https://codeforces.com/problemset/problem/177/B2,"Google, Apple"
Number Theory,Sherlock and his girlfriend,1200,Medium (1200-1500),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/776/B,"Google, Uber, Apple"
Constructive,Districts Connection,1200,Medium (1200-1500),"constructive algorithms, dfs and similar",https://codeforces.com/problemset/problem/1433/D,"Google, Amazon, Meta, Uber"
Constructive,Palindrome Game (easy version),1200,Medium (1200-1500),"constructive algorithms, games",https://codeforces.com/problemset/problem/1527/B1,"Google, Uber"
Constructive,Sorted Adjacent Differences,1200,Medium (1200-1500),"constructive algorithms, sortings",https://codeforces.com/problemset/problem/1339/B,"Google, Amazon, Meta, Uber"
Bitmasks,Boneca Ambalabu,1200,Medium (1200-1500),bitmasks,https://codeforces.com/problemset/problem/2094/E,"Google, Amazon"
Bitmasks,Johnny and His Hobbies,1200,Medium (1200-1500),"bitmasks, brute force",https://codeforces.com/problemset/problem/1362/B,"Google, Amazon, Meta"
DFS/BFS,DZY Loves Chessboard,1200,Medium (1200-1500),"dfs and similar, implementation",https://codeforces.com/problemset/problem/445/A,"Google, Amazon, Meta, Microsoft"
DFS/BFS,Fall Down,1200,Medium (1200-1500),"dfs and similar, implementation",https://codeforces.com/problemset/problem/1669/G,"Google, Amazon, Meta, Microsoft"
DFS/BFS,Permutation Transformation,1200,Medium (1200-1500),"dfs and similar, divide and conquer, implementation",https://codeforces.com/problemset/problem/1490/D,"Google, Amazon, Meta, Microsoft"
Sorting,Collecting Packages,1200,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/1294/B,"Amazon, Meta, Microsoft, Uber"
Sorting,Less or Equal,1200,Medium (1200-1500),sortings,https://codeforces.com/problemset/problem/977/C,"Amazon, Meta, Uber"
Sorting,Next Test,1200,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/27/A,"Amazon, Meta, Microsoft, Uber"
Implementation,Cheap Travel,1200,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/466/A,"Amazon, Meta, Microsoft"
Implementation,Mirror Grid,1200,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/1703/E,"Amazon, Meta, Microsoft"
Implementation,Pashmak and Garden,1200,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/459/A,"Amazon, Meta, Microsoft"
Brute Force,Clothes,1200,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/102/A,"Amazon, Meta"
Brute Force,Encryption (easy),1200,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/958/C1,"Amazon, Meta"
Brute Force,Left and Right Houses,1200,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/1945/C,"Amazon, Meta"
Dynamic Programming,Cut Ribbon,1300,Medium (1200-1500),"brute force, dp",https://codeforces.com/problemset/problem/189/A,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Dreamoon and WiFi,1300,Medium (1200-1500),"bitmasks, brute force, combinatorics, dp, math, probabilities",https://codeforces.com/problemset/problem/476/B,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Find the Different Ones!,1300,Medium (1200-1500),"binary search, brute force, data structures, dp, dsu, greedy, two pointers",https://codeforces.com/problemset/problem/1927/D,"Google, Amazon, Meta, Microsoft"
Graphs,Forever Winter,1300,Medium (1200-1500),"dfs and similar, graphs, math",https://codeforces.com/problemset/problem/1829/F,"Google, Amazon, Meta, Uber"
Graphs,Mahmoud and Ehab and the bipartiteness,1300,Medium (1200-1500),"dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/862/B,"Google, Amazon, Meta, Microsoft"
Graphs,Rumor,1300,Medium (1200-1500),"dfs and similar, graphs, greedy",https://codeforces.com/problemset/problem/893/C,"Google, Amazon, Meta, Uber"
Trees,Petya and Catacombs,1300,Medium (1200-1500),"dsu, greedy, implementation, trees",https://codeforces.com/problemset/problem/886/C,"Google, Amazon, Meta, Microsoft"
Trees,Strong Vertices,1300,Medium (1200-1500),"math, sortings, trees",https://codeforces.com/problemset/problem/1857/D,"Google, Amazon, Meta, Microsoft"
Trees,Xor-tree,1300,Medium (1200-1500),"dfs and similar, trees",https://codeforces.com/problemset/problem/429/A,"Google, Amazon, Meta, Microsoft"
Data Structures,Queries about less or equal elements,1300,Medium (1200-1500),"binary search, data structures, sortings, two pointers",https://codeforces.com/problemset/problem/600/B,"Google, Amazon, Meta, Uber"
Data Structures,Registration System,1300,Medium (1200-1500),"data structures, hashing, implementation",https://codeforces.com/problemset/problem/4/C,"Google, Amazon, Meta, Microsoft"
Data Structures,Romantic Glasses,1300,Medium (1200-1500),"data structures, greedy, math",https://codeforces.com/problemset/problem/1915/E,"Google, Amazon, Meta, Uber"
Binary Search,Chat Ban,1300,Medium (1200-1500),"binary search, math",https://codeforces.com/problemset/problem/1612/C,"Google, Amazon, Meta, Uber"
Binary Search,K-th Beautiful String,1300,Medium (1200-1500),"binary search, brute force, combinatorics, implementation, math",https://codeforces.com/problemset/problem/1328/B,"Google, Amazon, Meta, Microsoft"
Binary Search,T-primes,1300,Medium (1200-1500),"binary search, implementation, math, number theory",https://codeforces.com/problemset/problem/230/B,"Google, Amazon, Meta, Microsoft"
Two Pointers,Interesting Ratio,1300,Medium (1200-1500),"brute force, math, number theory, two pointers",https://codeforces.com/problemset/problem/2091/E,"Google, Amazon, Meta, Uber"
Two Pointers,Most socially-distanced subsequence,1300,Medium (1200-1500),"greedy, two pointers",https://codeforces.com/problemset/problem/1364/B,"Google, Amazon, Meta, Uber"
Two Pointers,Shuffle,1300,Medium (1200-1500),"math, two pointers",https://codeforces.com/problemset/problem/1366/B,"Google, Amazon, Meta, Uber"
Strings,Anton and currency you all know,1300,Medium (1200-1500),"greedy, math, strings",https://codeforces.com/problemset/problem/508/B,"Google, Amazon, Meta, Uber"
Strings,Digital string maximization,1300,Medium (1200-1500),"brute force, greedy, math, strings",https://codeforces.com/problemset/problem/2050/D,"Google, Amazon, Meta, Uber"
Strings,Make a Power of Two,1300,Medium (1200-1500),"greedy, math, strings",https://codeforces.com/problemset/problem/1560/D,"Google, Amazon, Meta, Uber"
Greedy,Omkar and Last Class of Math,1300,Medium (1200-1500),"greedy, math, number theory",https://codeforces.com/problemset/problem/1372/B,"Google, Amazon, Uber, Apple"
Greedy,Product of Three Numbers,1300,Medium (1200-1500),"greedy, math, number theory",https://codeforces.com/problemset/problem/1294/C,"Google, Amazon, Uber, Apple"
Greedy,Random Teams,1300,Medium (1200-1500),"combinatorics, constructive algorithms, greedy, math",https://codeforces.com/problemset/problem/478/B,"Google, Amazon, Uber, Apple"
Math,Buying Shovels,1300,Medium (1200-1500),"math, number theory",https://codeforces.com/problemset/problem/1360/D,"Google, Uber, Apple"
Math,Divide and Equalize,1300,Medium (1200-1500),"math, number theory",https://codeforces.com/problemset/problem/1881/D,"Google, Uber, Apple"
Math,Divisible Pairs,1300,Medium (1200-1500),"combinatorics, math, number theory",https://codeforces.com/problemset/problem/1931/D,"Google, Uber, Apple"
Number Theory,Easy Number Challenge,1300,Medium (1200-1500),"implementation, number theory",https://codeforces.com/problemset/problem/236/B,"Google, Amazon, Meta, Microsoft"
Number Theory,Ehab and a Special Coloring Problem,1300,Medium (1200-1500),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/1174/C,"Google, Uber, Apple"
Number Theory,New Year's Eve,1300,Medium (1200-1500),"bitmasks, constructive algorithms, number theory",https://codeforces.com/problemset/problem/912/B,"Google, Amazon, Uber, Apple"
Constructive,Anti-Sudoku,1300,Medium (1200-1500),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/1335/D,"Google, Amazon, Meta, Microsoft"
Constructive,Gardener and the Array,1300,Medium (1200-1500),"bitmasks, constructive algorithms",https://codeforces.com/problemset/problem/1775/B,"Google, Amazon, Uber"
Constructive,Trouble Sort,1300,Medium (1200-1500),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/1365/B,"Google, Amazon, Meta, Microsoft"
Union-Find (DSU),Alice and Hairdresser,1300,Medium (1200-1500),"dsu, implementation",https://codeforces.com/problemset/problem/1055/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,New Year and Old Property,1300,Medium (1200-1500),"bitmasks, brute force, implementation",https://codeforces.com/problemset/problem/611/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,Reverse XOR,1300,Medium (1200-1500),bitmasks,https://codeforces.com/problemset/problem/2160/C,"Google, Amazon"
Combinatorics,Chocolate,1300,Medium (1200-1500),combinatorics,https://codeforces.com/problemset/problem/617/B,Google
Combinatorics,Pashmak and Flowers,1300,Medium (1200-1500),"combinatorics, implementation, sortings",https://codeforces.com/problemset/problem/459/B,"Google, Amazon, Meta, Microsoft"
Combinatorics,Wet Shark and Bishops,1300,Medium (1200-1500),"combinatorics, implementation",https://codeforces.com/problemset/problem/621/B,"Google, Amazon, Meta, Microsoft"
Sorting,1709,1300,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/2121/D,"Amazon, Meta, Microsoft, Uber"
Sorting,Jeff and Periods,1300,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/352/B,"Amazon, Meta, Microsoft, Uber"
Sorting,Sort the Array,1300,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/451/B,"Amazon, Meta, Microsoft, Uber"
Implementation,"Alice, Bob and Candies",1300,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/1352/D,"Amazon, Meta, Microsoft"
Implementation,Equator,1300,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/962/A,"Amazon, Meta, Microsoft"
Implementation,I Love 1543,1300,Medium (1200-1500),"brute force, implementation, matrices",https://codeforces.com/problemset/problem/2036/D,"Amazon, Meta, Microsoft"
Brute Force,IQ test,1300,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/25/A,"Amazon, Meta"
Brute Force,Perform the Combo,1300,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/1311/C,"Amazon, Meta"
Brute Force,Two Tables,1300,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/1555/B,"Amazon, Meta"
Dynamic Programming,Given Length and Sum of Digits...,1400,Medium (1200-1500),"dp, greedy, implementation",https://codeforces.com/problemset/problem/489/C,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,I Hate 1111,1400,Medium (1200-1500),"dp, math, number theory",https://codeforces.com/problemset/problem/1526/B,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Vacations,1400,Medium (1200-1500),dp,https://codeforces.com/problemset/problem/698/A,"Google, Amazon, Microsoft, Uber"
Graphs,Ball in Berland,1400,Medium (1200-1500),"combinatorics, graphs, math",https://codeforces.com/problemset/problem/1475/C,"Google, Amazon, Meta, Uber"
Graphs,News Distribution,1400,Medium (1200-1500),"dfs and similar, dsu, graphs",https://codeforces.com/problemset/problem/1167/C,"Google, Amazon, Meta, Uber"
Graphs,Two Buttons,1400,Medium (1200-1500),"dfs and similar, graphs, greedy, implementation, math, shortest paths",https://codeforces.com/problemset/problem/520/B,"Google, Amazon, Meta, Microsoft"
Trees,Divine Tree,1400,Medium (1200-1500),"constructive algorithms, greedy, math, sortings, trees",https://codeforces.com/problemset/problem/2120/C,"Google, Amazon, Meta, Microsoft"
Trees,Not Assigning,1400,Medium (1200-1500),"constructive algorithms, dfs and similar, number theory, trees",https://codeforces.com/problemset/problem/1627/C,"Google, Amazon, Meta, Microsoft"
Trees,Queen,1400,Medium (1200-1500),"dfs and similar, trees",https://codeforces.com/problemset/problem/1143/C,"Google, Amazon, Meta, Microsoft"
Data Structures,Karen and Coffee,1400,Medium (1200-1500),"binary search, data structures, implementation",https://codeforces.com/problemset/problem/816/B,"Google, Amazon, Meta, Microsoft"
Data Structures,Pair of Topics,1400,Medium (1200-1500),"binary search, data structures, sortings, two pointers",https://codeforces.com/problemset/problem/1324/D,"Google, Amazon, Meta, Uber"
Data Structures,Phoenix and Beauty,1400,Medium (1200-1500),"constructive algorithms, data structures, greedy, sortings",https://codeforces.com/problemset/problem/1348/B,"Google, Amazon, Meta, Uber"
Binary Search,Books,1400,Medium (1200-1500),"binary search, brute force, implementation, two pointers",https://codeforces.com/problemset/problem/279/B,"Google, Amazon, Meta, Microsoft"
Binary Search,Magic Powder - 1,1400,Medium (1200-1500),"binary search, brute force, implementation",https://codeforces.com/problemset/problem/670/D1,"Google, Amazon, Meta, Microsoft"
Binary Search,Maximum Median,1400,Medium (1200-1500),"binary search, greedy, math, sortings",https://codeforces.com/problemset/problem/1201/C,"Google, Amazon, Meta, Uber"
Two Pointers,RationalLee,1400,Medium (1200-1500),"greedy, math, sortings, two pointers",https://codeforces.com/problemset/problem/1369/C,"Google, Amazon, Meta, Uber"
Two Pointers,The Trail,1400,Medium (1200-1500),"brute force, constructive algorithms, greedy, math, two pointers",https://codeforces.com/problemset/problem/2055/C,"Google, Amazon, Meta, Uber"
Two Pointers,Zero Remainder Array,1400,Medium (1200-1500),"math, sortings, two pointers",https://codeforces.com/problemset/problem/1374/D,"Google, Amazon, Meta, Uber"
Strings,Dominant Character,1400,Medium (1200-1500),"brute force, greedy, implementation, strings",https://codeforces.com/problemset/problem/1605/C,"Google, Amazon, Meta, Microsoft"
Strings,Subsequence Hate,1400,Medium (1200-1500),"implementation, strings",https://codeforces.com/problemset/problem/1363/B,"Google, Amazon, Meta, Microsoft"
Strings,Suffix Structures,1400,Medium (1200-1500),"implementation, strings",https://codeforces.com/problemset/problem/448/B,"Google, Amazon, Meta, Microsoft"
Greedy,Arranging The Sheep,1400,Medium (1200-1500),"greedy, math",https://codeforces.com/problemset/problem/1520/E,"Google, Amazon, Uber, Apple"
Greedy,Drazil and Factorial,1400,Medium (1200-1500),"greedy, math, sortings",https://codeforces.com/problemset/problem/515/C,"Google, Amazon, Meta, Uber"
Greedy,Exams,1400,Medium (1200-1500),"greedy, sortings",https://codeforces.com/problemset/problem/479/C,"Google, Amazon, Meta, Uber"
Math,Amr and Pins,1400,Medium (1200-1500),"geometry, math",https://codeforces.com/problemset/problem/507/B,"Google, Uber, Apple"
Math,Fadi and LCM,1400,Medium (1200-1500),"brute force, math, number theory",https://codeforces.com/problemset/problem/1285/C,"Google, Amazon, Meta, Uber"
Math,Number Game,1400,Medium (1200-1500),"games, math, number theory",https://codeforces.com/problemset/problem/1370/C,"Google, Uber, Apple"
Number Theory,Make It Round,1400,Medium (1200-1500),"brute force, number theory",https://codeforces.com/problemset/problem/1759/D,"Google, Amazon, Meta, Apple"
Constructive,Find the Zero,1400,Medium (1200-1500),"constructive algorithms, interactive",https://codeforces.com/problemset/problem/2209/C,"Google, Uber"
Constructive,Suffix Operations,1400,Medium (1200-1500),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/1453/B,"Google, Amazon, Meta, Microsoft"
Constructive,Vlad and a Pair of Numbers,1400,Medium (1200-1500),"bitmasks, constructive algorithms",https://codeforces.com/problemset/problem/1790/E,"Google, Amazon, Uber"
Union-Find (DSU),Connect,1400,Medium (1200-1500),"brute force, dfs and similar, dsu",https://codeforces.com/problemset/problem/1130/C,"Google, Amazon, Meta"
Union-Find (DSU),Learning Languages,1400,Medium (1200-1500),"dfs and similar, dsu",https://codeforces.com/problemset/problem/277/A,"Google, Amazon, Meta"
Union-Find (DSU),Serial Time!,1400,Medium (1200-1500),"dfs and similar, dsu",https://codeforces.com/problemset/problem/60/B,"Google, Amazon, Meta"
Bitmasks,Chessboard,1400,Medium (1200-1500),"bitmasks, brute force, implementation",https://codeforces.com/problemset/problem/961/C,"Google, Amazon, Meta, Microsoft"
Bitmasks,Preparing Olympiad,1400,Medium (1200-1500),"bitmasks, brute force",https://codeforces.com/problemset/problem/550/B,"Google, Amazon, Meta"
Bitmasks,Skibidi Table,1400,Medium (1200-1500),"bitmasks, implementation",https://codeforces.com/problemset/problem/2093/D,"Google, Amazon, Meta, Microsoft"
DFS/BFS,Soldier and Cards,1400,Medium (1200-1500),"brute force, dfs and similar, games",https://codeforces.com/problemset/problem/546/C,"Google, Amazon, Meta"
Shortest Paths,Jumping on Walls,1400,Medium (1200-1500),shortest paths,https://codeforces.com/problemset/problem/198/B,"Google, Amazon, Uber"
Combinatorics,Permutations,1400,Medium (1200-1500),"brute force, combinatorics, implementation",https://codeforces.com/problemset/problem/124/B,"Google, Amazon, Meta, Microsoft"
Combinatorics,Pocket Book,1400,Medium (1200-1500),combinatorics,https://codeforces.com/problemset/problem/152/C,Google
Sorting,Chipmunk Theo and Equality,1400,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/2231/C,"Amazon, Meta, Microsoft, Uber"
Sorting,Equal Sums,1400,Medium (1200-1500),"implementation, sortings",https://codeforces.com/problemset/problem/988/C,"Amazon, Meta, Microsoft, Uber"
Sorting,Optimal Point on a Line,1400,Medium (1200-1500),"brute force, sortings",https://codeforces.com/problemset/problem/710/B,"Amazon, Meta, Uber"
Implementation,Mark and His Unfinished Essay,1400,Medium (1200-1500),"brute force, implementation",https://codeforces.com/problemset/problem/1705/C,"Amazon, Meta, Microsoft"
Implementation,Plug-in,1400,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/81/A,"Amazon, Meta, Microsoft"
Implementation,Vasya and Wrestling,1400,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/493/B,"Amazon, Meta, Microsoft"
Brute Force,A Compatible Pair,1400,Medium (1200-1500),"brute force, games",https://codeforces.com/problemset/problem/934/A,"Google, Amazon, Meta"
Brute Force,Maximum Crossings (Easy Version),1400,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/1676/H1,"Amazon, Meta"
Brute Force,Sereja and Bottles,1400,Medium (1200-1500),brute force,https://codeforces.com/problemset/problem/315/A,"Amazon, Meta"
Dynamic Programming,Boredom,1500,Medium (1200-1500),dp,https://codeforces.com/problemset/problem/455/A,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Two Substrings,1500,Medium (1200-1500),"brute force, dp, greedy, implementation, strings",https://codeforces.com/problemset/problem/550/A,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Woodcutters,1500,Medium (1200-1500),"dp, greedy",https://codeforces.com/problemset/problem/545/C,"Google, Amazon, Microsoft, Uber"
Graphs,Cyclic Components,1500,Medium (1200-1500),"dfs and similar, dsu, graphs",https://codeforces.com/problemset/problem/977/E,"Google, Amazon, Meta, Uber"
Graphs,Kefa and Park,1500,Medium (1200-1500),"dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/580/C,"Google, Amazon, Meta, Microsoft"
Graphs,Lunar New Year and a Wander,1500,Medium (1200-1500),"data structures, dfs and similar, graphs, greedy, shortest paths",https://codeforces.com/problemset/problem/1106/D,"Google, Amazon, Meta, Uber"
Trees,13th Labour of Heracles,1500,Medium (1200-1500),"data structures, greedy, sortings, trees",https://codeforces.com/problemset/problem/1466/D,"Google, Amazon, Meta, Microsoft"
Trees,Ehab and Path-etic MEXs,1500,Medium (1200-1500),"constructive algorithms, dfs and similar, greedy, trees",https://codeforces.com/problemset/problem/1325/C,"Google, Amazon, Meta, Microsoft"
Trees,Guess The Tree,1500,Medium (1200-1500),"binary search, brute force, dfs and similar, divide and conquer, dsu, greedy, interactive, trees",https://codeforces.com/problemset/problem/2001/C,"Google, Amazon, Meta, Microsoft"
Data Structures,Final Boss,1500,Medium (1200-1500),"binary search, data structures",https://codeforces.com/problemset/problem/1985/F,"Google, Amazon, Meta"
Data Structures,Greetings,1500,Medium (1200-1500),"data structures, divide and conquer, sortings",https://codeforces.com/problemset/problem/1915/F,"Google, Amazon, Meta, Uber"
Data Structures,Little Girl and Maximum Sum,1500,Medium (1200-1500),"data structures, greedy, implementation, sortings",https://codeforces.com/problemset/problem/276/C,"Google, Amazon, Meta, Microsoft"
Binary Search,Burning Midnight Oil,1500,Medium (1200-1500),"binary search, implementation",https://codeforces.com/problemset/problem/165/B,"Google, Amazon, Meta, Microsoft"
Binary Search,Cellular Network,1500,Medium (1200-1500),"binary search, implementation, two pointers",https://codeforces.com/problemset/problem/702/C,"Google, Amazon, Meta, Microsoft"
Binary Search,Kefa and Company,1500,Medium (1200-1500),"binary search, sortings, two pointers",https://codeforces.com/problemset/problem/580/B,"Google, Amazon, Meta, Uber"
Two Pointers,Heaters,1500,Medium (1200-1500),"greedy, two pointers",https://codeforces.com/problemset/problem/1066/B,"Google, Amazon, Meta, Uber"
Two Pointers,Phoenix and Socks,1500,Medium (1200-1500),"greedy, sortings, two pointers",https://codeforces.com/problemset/problem/1515/D,"Google, Amazon, Meta, Uber"
Two Pointers,Special Elements,1500,Medium (1200-1500),"brute force, implementation, two pointers",https://codeforces.com/problemset/problem/1352/E,"Amazon, Meta, Microsoft"
Strings,Balanced Bitstring,1500,Medium (1200-1500),"implementation, strings",https://codeforces.com/problemset/problem/1404/A,"Google, Amazon, Meta, Microsoft"
Strings,Codeforces Subsequences,1500,Medium (1200-1500),"brute force, constructive algorithms, greedy, math, strings",https://codeforces.com/problemset/problem/1368/B,"Google, Amazon, Meta, Uber"
Strings,K-Complete Word,1500,Medium (1200-1500),"dfs and similar, dsu, greedy, implementation, strings",https://codeforces.com/problemset/problem/1332/C,"Google, Amazon, Meta, Microsoft"
Greedy,Decrease the Sum of Digits,1500,Medium (1200-1500),"greedy, math",https://codeforces.com/problemset/problem/1409/D,"Google, Amazon, Uber, Apple"
Greedy,Powered Addition,1500,Medium (1200-1500),"greedy, math",https://codeforces.com/problemset/problem/1338/A,"Google, Amazon, Uber, Apple"
Greedy,Zero Array,1500,Medium (1200-1500),"greedy, math",https://codeforces.com/problemset/problem/1201/B,"Google, Amazon, Uber, Apple"
Math,Binary String Reconstruction,1500,Medium (1200-1500),"constructive algorithms, dfs and similar, math",https://codeforces.com/problemset/problem/1352/F,"Google, Amazon, Meta, Uber"
Math,Omkar and Baseball,1500,Medium (1200-1500),"constructive algorithms, math",https://codeforces.com/problemset/problem/1372/C,"Google, Uber, Apple"
Math,Plus and Multiply,1500,Medium (1200-1500),"constructive algorithms, math, number theory",https://codeforces.com/problemset/problem/1542/B,"Google, Uber, Apple"
Number Theory,Calendar Reform,1500,Medium (1200-1500),"*special, number theory",https://codeforces.com/problemset/problem/172/D,"Google, Apple"
Number Theory,Effects of Anti Pimples,1500,Medium (1200-1500),"combinatorics, number theory, sortings",https://codeforces.com/problemset/problem/1876/B,"Google, Amazon, Meta, Uber"
Number Theory,Mashmokh and Numbers,1500,Medium (1200-1500),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/414/A,"Google, Uber, Apple"
Constructive,And Matching,1500,Medium (1200-1500),"bitmasks, constructive algorithms",https://codeforces.com/problemset/problem/1630/A,"Google, Amazon, Uber"
Constructive,Beautiful Sets of Points,1500,Medium (1200-1500),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/268/C,"Google, Amazon, Meta, Microsoft"
Constructive,Restoring the Permutation,1500,Medium (1200-1500),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/1506/E,"Google, Amazon, Meta, Microsoft"
Union-Find (DSU),Queue,1500,Medium (1200-1500),"dsu, implementation",https://codeforces.com/problemset/problem/490/B,"Google, Amazon, Meta, Microsoft"
DFS/BFS,Biridian Forest,1500,Medium (1200-1500),"dfs and similar, shortest paths",https://codeforces.com/problemset/problem/329/B,"Google, Amazon, Meta, Uber"
DFS/BFS,Fire Again,1500,Medium (1200-1500),"brute force, dfs and similar, shortest paths",https://codeforces.com/problemset/problem/35/C,"Google, Amazon, Meta, Uber"
DFS/BFS,Fox And Two Dots,1500,Medium (1200-1500),dfs and similar,https://codeforces.com/problemset/problem/510/B,"Google, Amazon, Meta"
Combinatorics,Kolya and Tanya ,1500,Medium (1200-1500),combinatorics,https://codeforces.com/problemset/problem/584/B,Google
Combinatorics,Polo the Penguin and Houses ,1500,Medium (1200-1500),combinatorics,https://codeforces.com/problemset/problem/288/B,Google
Hashing,Winner,1500,Medium (1200-1500),"hashing, implementation",https://codeforces.com/problemset/problem/2/A,"Amazon, Meta, Microsoft"
Sorting,AquaMoon and Strange Sort,1500,Medium (1200-1500),sortings,https://codeforces.com/problemset/problem/1545/A,"Amazon, Meta, Uber"
Sorting,Division and Union,1500,Medium (1200-1500),sortings,https://codeforces.com/problemset/problem/1101/C,"Amazon, Meta, Uber"
Sorting,Modulo Equality,1500,Medium (1200-1500),"brute force, sortings",https://codeforces.com/problemset/problem/1269/B,"Amazon, Meta, Uber"
Implementation,Equalizing by Division (easy version),1500,Medium (1200-1500),"brute force, implementation",https://codeforces.com/problemset/problem/1213/D1,"Amazon, Meta, Microsoft"
Implementation,RGB Substring (easy version),1500,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/1196/D1,"Amazon, Meta, Microsoft"
Implementation,Robot Breakout,1500,Medium (1200-1500),implementation,https://codeforces.com/problemset/problem/1196/C,"Amazon, Meta, Microsoft"
Brute Force,Triangle,1500,Medium (1200-1500),"brute force, geometry",https://codeforces.com/problemset/problem/18/A,"Google, Amazon, Meta, Uber"
Dynamic Programming,Good Subarrays,1600,Hard (1600-1900),"data structures, dp, math",https://codeforces.com/problemset/problem/1398/C,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Linova and Kingdom,1600,Hard (1600-1900),"dfs and similar, dp, greedy, sortings, trees",https://codeforces.com/problemset/problem/1336/A,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,k-Tree,1600,Hard (1600-1900),"dp, implementation, trees",https://codeforces.com/problemset/problem/431/C,"Google, Amazon, Meta, Microsoft"
Graphs,Fox And Names,1600,Hard (1600-1900),"dfs and similar, graphs, sortings",https://codeforces.com/problemset/problem/510/C,"Google, Amazon, Meta, Uber"
Graphs,Round Dance,1600,Hard (1600-1900),"dfs and similar, dsu, graphs, shortest paths",https://codeforces.com/problemset/problem/1833/E,"Google, Amazon, Meta, Uber"
Graphs,Split Into Two Sets,1600,Hard (1600-1900),"dfs and similar, dsu, graphs",https://codeforces.com/problemset/problem/1702/E,"Google, Amazon, Meta, Uber"
Trees,Game On Leaves,1600,Hard (1600-1900),"games, trees",https://codeforces.com/problemset/problem/1363/C,"Google, Amazon, Meta, Microsoft"
Trees,Gardener and Tree,1600,Hard (1600-1900),"brute force, data structures, dfs and similar, greedy, implementation, trees",https://codeforces.com/problemset/problem/1593/E,"Google, Amazon, Meta, Microsoft"
Trees,Queries for the Array,1600,Hard (1600-1900),"data structures, dfs and similar, implementation, strings, trees",https://codeforces.com/problemset/problem/1861/C,"Google, Amazon, Meta, Microsoft"
Data Structures,Constructing the Array,1600,Hard (1600-1900),"constructive algorithms, data structures, sortings",https://codeforces.com/problemset/problem/1353/D,"Google, Amazon, Meta, Uber"
Data Structures,Orac and LCM,1600,Hard (1600-1900),"data structures, math, number theory",https://codeforces.com/problemset/problem/1349/A,"Google, Amazon, Meta, Uber"
Data Structures,Potions (Hard Version),1600,Hard (1600-1900),"data structures, greedy",https://codeforces.com/problemset/problem/1526/C2,"Google, Amazon, Meta, Uber"
Binary Search,Hamburgers,1600,Hard (1600-1900),"binary search, brute force",https://codeforces.com/problemset/problem/371/C,"Google, Amazon, Meta"
